MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
3.859,1.541,1.886,2.795,0.730,1.194,1.541,1.541,1.820,1.194,3.341,2.056,0.730,1.820,2.056,2.056,2.056,5.094,5.094,0.730,0.730,2.603,2.603,1.541,0.000,1.541,1.541,1.541,1.820,1.820,1.820,1.541,11.849,2.260,0.000,7.248,12.236,0.730,1.820,0.730,1.541,2.431,0.000,0.000,2.431,0.730,0.000,0.730,0.000,1.541,0.730,1.541,2.056,1.820,0.000,2.056,1.820,5.094,1.541,0.730,9.616,1.541,1.541,1.194,0.000,0.000,0.000,0.000,0.000,0.000,0.730,1.820,1.194,0.000,1.194,14.195,1.541,1.820,11.771
5.685,1.541,1.932,2.804,0.730,1.194,1.194,1.541,1.820,1.194,3.530,2.056,0.730,1.820,1.820,2.750,2.056,0.730,0.000,0.730,0.730,1.541,1.820,0.730,8.914,0.730,1.541,1.820,1.194,1.820,1.820,2.056,12.120,2.260,0.000,7.837,12.585,0.730,1.820,0.730,1.541,2.453,12.503,0.000,2.564,0.730,0.000,1.541,0.000,1.820,0.730,0.730,3.011,1.820,1.194,1.820,1.541,0.730,0.730,1.541,11.282,1.541,1.541,1.194,7.441,3.933,0.000,0.000,0.000,0.000,0.730,1.820,1.194,0.000,2.440,14.192,1.194,1.541,12.751
3.859,1.541,1.893,2.815,0.730,1.194,0.730,1.541,1.820,1.194,3.341,2.056,0.730,1.820,2.056,2.056,2.260,5.211,5.211,0.730,0.730,2.603,2.260,1.541,0.000,1.541,1.541,1.541,1.820,1.820,1.820,1.820,11.286,2.260,0.000,7.812,11.868,0.730,1.541,0.730,1.541,2.409,0.000,0.000,2.409,0.730,0.000,0.730,0.000,1.194,0.730,1.541,1.820,1.820,0.000,2.056,1.820,5.211,1.541,0.730,9.406,1.541,1.541,1.194,7.339,0.000,0.000,0.000,7.825,0.000,0.730,1.820,1.194,0.000,2.750,14.195,1.541,1.820,11.878
3.859,1.541,1.948,2.788,0.730,1.194,1.194,1.541,1.820,1.194,3.859,2.056,0.730,1.820,2.056,2.440,2.056,0.730,0.000,1.194,0.730,2.886,2.886,0.730,9.072,1.194,1.541,1.820,1.541,1.820,1.541,2.260,0.000,2.260,0.000,13.291,13.291,0.730,1.820,0.730,1.541,2.492,0.000,0.000,2.492,0.000,0.000,1.194,0.000,1.541,0.730,1.194,2.440,1.820,0.730,1.820,2.056,0.730,1.194,1.541,11.641,1.541,1.541,1.194,7.620,4.648,0.000,0.000,0.000,0.000,0.730,1.820,1.194,0.000,2.603,14.194,1.194,1.541,12.541
3.859,1.541,1.896,2.792,0.730,1.194,1.194,1.541,1.541,1.194,3.933,2.056,0.730,1.820,2.056,2.260,2.056,5.285,5.285,0.730,0.730,2.750,2.750,1.194,8.233,1.541,1.541,1.541,1.820,1.820,1.820,1.194,11.271,2.260,0.000,10.372,12.771,0.730,1.541,0.730,1.541,2.463,0.000,0.000,2.463,0.730,0.000,0.730,0.730,1.194,0.730,1.541,2.056,1.820,0.730,1.194,2.056,5.285,1.194,0.730,9.406,1.541,1.541,1.194,0.000,8.243,7.825,0.000,0.000,0.000,0.730,0.730,1.194,0.000,2.056,14.195,1.541,1.820,11.964
5.173,1.194,1.808,2.710,0.730,1.194,1.541,1.541,1.541,1.194,2.886,2.056,0.730,1.820,0.000,2.440,2.603,6.173,2.260,1.194,0.730,2.440,2.440,1.541,0.000,1.541,1.541,1.194,1.820,1.820,1.820,2.260,0.000,2.260,0.000,11.615,11.615,0.730,1.820,0.730,1.194,2.397,0.000,0.000,2.397,0.000,0.000,0.730,0.000,1.194,0.730,1.541,2.056,1.820,0.000,2.056,1.820,3.530,1.541,1.194,10.635,1.541,1.541,1.194,5.285,6.881,0.000,0.000,0.000,0.000,0.730,1.194,1.194,0.000,2.440,14.194,1.541,1.820,11.791
3.859,1.541,1.896,2.796,0.730,1.194,1.194,1.541,1.194,1.194,3.933,2.056,0.730,1.820,2.056,2.260,2.440,4.970,4.970,1.194,0.730,2.440,2.440,1.194,7.873,1.541,1.541,1.541,1.820,1.820,1.820,1.820,10.644,2.260,0.000,9.871,12.137,0.730,1.820,0.730,1.541,2.425,0.000,0.000,2.425,0.730,0.000,0.730,0.000,1.194,0.730,1.541,2.056,1.820,0.730,1.541,2.056,4.970,0.730,1.194,10.169,1.541,1.541,1.194,0.000,0.000,0.000,0.000,0.000,0.000,0.730,1.820,0.730,11.148,1.541,14.198,1.541,1.820,11.912
6.448,1.541,1.893,2.790,0.730,1.194,1.541,1.541,1.820,1.194,3.341,2.056,0.730,1.194,2.056,1.820,2.056,4.927,4.927,1.194,0.730,2.750,2.750,1.541,0.000,1.541,1.541,0.730,0.000,0.730,0.000,0.000,0.000,1.541,0.000,0.000,0.000,0.730,1.541,0.730,1.541,2.469,0.000,0.000,2.469,0.000,0.000,1.194,0.000,1.194,1.194,1.541,2.260,1.820,0.000,2.056,0.730,4.927,1.541,1.194,10.352,1.541,1.541,1.194,0.000,0.000,0.000,0.000,0.000,0.000,0.730,1.820,0.730,10.272,2.886,14.192,1.541,1.820,11.408
3.859,1.541,1.872,2.823,0.730,1.194,1.541,1.541,1.820,1.194,3.128,1.194,0.730,1.820,2.056,2.056,2.056,1.820,1.820,1.194,0.730,2.886,2.886,1.541,0.000,1.541,1.541,1.820,1.820,1.820,1.820,2.056,10.935,2.260,0.000,10.105,12.432,0.730,1.820,0.730,1.541,2.443,0.000,0.000,2.443,0.730,0.000,0.730,0.730,1.541,0.730,1.194,2.260,1.820,0.000,2.056,1.820,1.820,1.541,1.194,10.635,1.541,1.541,1.194,0.000,6.694,0.000,0.000,0.000,0.000,0.730,1.820,1.194,0.000,2.260,14.195,1.541,1.820,11.977
3.859,1.541,1.886,2.740,0.730,1.194,1.541,1.541,1.820,1.194,3.933,2.056,0.730,1.820,2.056,2.056,2.260,5.392,5.134,0.730,0.730,1.820,2.260,1.541,0.000,1.541,1.541,1.541,1.820,1.820,1.820,0.730,10.292,2.260,0.000,10.396,12.206,0.730,1.541,0.730,1.541,2.474,0.000,0.000,2.474,0.000,0.000,0.730,0.000,1.541,0.730,1.541,2.260,1.194,0.000,2.056,2.056,5.392,1.541,0.730,8.979,1.541,1.541,1.194,0.000,0.000,0.000,0.000,0.000,0.000,0.730,1.541,1.194,0.000,2.056,14.197,0.730,1.194,11.842
5.685,1.541,1.972,2.828,0.730,1.194,1.194,1.541,1.541,1.194,3.530,2.056,0.730,1.820,1.820,2.603,2.056,0.730,0.000,1.194,0.730,2.886,2.886,1.194,9.591,1.194,1.541,1.820,1.194,1.820,1.541,2.260,0.000,2.260,0.000,12.543,12.543,0.730,1.820,0.730,1.541,2.450,12.689,0.000,2.567,0.000,0.000,1.541,0.730,1.820,0.730,1.194,2.750,1.820,0.730,1.820,1.541,0.730,1.194,1.541,11.683,1.541,1.541,1.194,8.511,7.539,0.000,0.000,0.000,0.000,0.730,1.820,1.194,0.000,3.011,14.192,1.194,1.541,12.693
5.173,1.194,1.836,2.738,0.730,0.730,1.541,0.730,1.820,1.194,2.603,2.056,0.730,1.820,0.000,2.440,2.440,6.148,5.591,1.194,0.730,2.440,2.440,1.541,0.000,1.541,1.541,1.820,1.820,1.820,1.820,2.260,0.000,2.260,0.000,10.898,10.898,0.730,1.820,0.730,0.730,2.442,0.000,0.000,2.442,0.000,0.000,0.730,0.000,1.541,0.730,1.194,2.260,1.820,0.730,1.820,2.056,6.148,1.541,0.730,8.865,1.541,1.541,0.730,0.000,0.000,8.158,0.000,0.000,0.000,0.730,1.194,1.194,0.000,2.260,14.194,1.541,1.820,11.845
3.859,1.541,1.902,2.776,0.730,1.194,1.541,1.541,1.820,1.194,3.859,2.056,0.730,1.820,2.056,2.603,2.056,2.260,2.260,0.730,0.730,2.886,2.886,1.194,8.873,1.194,1.541,1.820,1.541,1.820,1.820,2.260,0.000,2.260,0.000,13.817,13.817,0.730,1.820,0.730,1.541,2.522,0.000,0.000,2.522,0.000,0.000,1.194,0.000,1.541,0.730,1.194,2.440,1.820,0.730,1.820,2.056,2.260,1.194,1.194,10.440,1.541,1.541,1.194,7.762,7.607,0.000,0.000,0.000,0.000,0.730,1.820,1.194,0.000,2.750,14.195,1.541,1.820,12.346
7.021,1.194,1.770,2.656,0.730,1.194,1.541,1.541,1.820,1.194,0.730,2.056,0.730,1.541,2.056,2.056,2.440,4.545,4.545,1.194,0.730,2.056,2.056,1.541,0.000,1.541,1.541,1.820,1.541,1.820,1.820,2.056,11.641,2.260,0.000,8.104,12.236,0.730,1.541,0.730,1.541,2.435,0.000,0.000,2.435,0.730,0.000,0.730,0.000,1.541,0.730,1.541,2.260,1.820,0.730,1.541,2.056,4.545,1.541,1.194,10.617,1.541,1.541,1.194,6.655,6.845,0.000,0.000,0.000,0.000,0.730,1.820,1.194,0.000,2.260,14.194,1.541,1.820,11.775
3.859,1.541,1.893,2.753,0.730,1.194,1.194,1.541,1.820,1.194,3.341,2.056,0.730,1.820,2.056,2.056,2.603,5.053,2.750,1.194,0.730,2.260,2.260,1.541,0.000,1.541,1.194,1.541,1.820,1.820,0.730,1.541,7.968,0.730,11.023,8.147,12.290,0.730,1.820,0.730,1.541,2.435,0.000,0.000,2.435,0.730,0.000,0.730,0.000,1.541,0.730,1.194,2.260,1.820,0.730,1.541,2.056,5.053,1.541,0.730,8.781,1.541,1.541,1.194,9.752,6.448,0.000,0.000,0.000,0.000,0.730,1.541,1.194,0.000,2.056,14.198,1.541,1.820,11.945
3.859,1.541,1.991,2.828,0.730,1.194,1.541,1.541,1.541,1.194,3.530,2.056,0.730,1.820,2.056,2.603,2.056,1.194,1.194,1.194,0.730,2.886,2.886,0.730,10.910,1.194,1.541,1.820,1.541,1.820,1.820,2.260,0.000,2.260,0.000,13.432,13.432,0.730,1.820,0.730,1.541,2.504,0.000,0.000,2.504,0.000,0.000,1.194,0.000,1.541,0.730,1.194,2.440,1.820,0.730,1.820,2.056,1.194,1.194,1.541,11.800,1.541,1.541,1.194,0.000,5.559,0.000,0.000,0.000,0.000,0.730,1.820,1.194,0.000,2.440,14.197,1.541,1.820,12.454
3.859,1.541,1.848,2.733,0.730,1.194,1.541,1.541,1.541,1.194,3.933,2.056,0.730,1.820,2.056,2.056,2.440,5.654,2.886,1.194,0.730,2.440,2.440,1.541,0.000,1.541,1.541,1.541,1.820,1.820,0.730,1.194,8.454,2.056,10.200,7.873,11.831,0.730,1.541,0.730,1.541,2.406,0.000,0.000,2.406,0.000,0.730,0.730,0.000,1.541,0.730,1.194,2.056,1.820,0.000,2.056,1.820,2.056,1.541,1.194,10.635,1.541,1.541,1.194,8.336,4.597,0.000,0.000,0.000,0.000,0.730,1.820,1.194,0.000,2.056,14.198,1.541,1.820,11.812
3.859,1.541,1.965,2.799,0.730,1.194,1.541,1.541,1.820,1.194,3.530,2.056,0.730,1.820,2.056,2.603,2.056,1.541,1.194,1.194,0.730,2.886,2.886,0.730,8.104,1.194,1.541,1.820,1.194,1.820,1.820,2.056,12.689,2.260,0.000,10.200,13.688,0.730,1.820,0.730,1.541,2.514,0.000,0.000,2.514,0.730,0.000,1.194,0.000,1.541,0.730,1.194,2.440,1.820,0.730,1.820,2.056,1.194,1.194,1.541,11.411,1.541,1.541,1.194,0.000,5.357,0.000,0.000,0.000,0.000,0.730,1.820,1.194,0.000,2.056,14.198,1.541,1.820,12.631
3.859,1.541,1.787,2.846,0.730,1.194,1.194,1.541,1.194,1.194,3.933,2.056,0.730,1.820,2.056,2.056,2.260,5.322,2.750,1.194,0.730,2.750,2.750,1.541,0.000,1.541,1.541,1.541,1.820,1.820,1.194,1.194,12.827,2.260,0.000,8.180,13.271,0.730,1.541,0.730,1.541,2.504,0.000,0.000,2.504,0.730,0.000,0.730,0.000,1.194,0.730,1.541,2.260,1.820,1.194,1.820,2.056,5.322,1.194,0.730,9.171,1.541,1.541,1.194,8.930,8.676,0.000,0.000,0.000,0.000,0.730,1.820,1.194,0.000,3.128,14.192,1.541,1.820,12.243
4.492,1.194,1.848,2.715,0.730,1.194,1.194,1.541,1.820,1.194,2.886,1.820,0.000,1.820,2.056,1.820,2.260,6.245,5.623,1.194,0.730,2.750,2.750,1.541,0.000,1.541,1.541,1.194,1.820,1.820,1.820,2.260,0.000,2.260,0.000,10.372,10.372,0.730,0.730,0.000,1.541,2.308,0.000,0.000,2.308,0.000,0.000,0.730,0.000,0.730,0.730,0.000,1.820,1.820,0.000,2.056,1.820,6.405,1.541,0.730,8.511,0.730,1.541,1.194,5.322,0.000,6.382,0.000,0.000,0.000,0.730,1.820,1.194,0.000,2.056,14.195,1.541,1.820,11.135
5.969,0.000,1.803,2.757,0.730,0.000,1.541,1.541,1.820,1.194,2.603,1.820,0.730,1.820,1.820,1.820,1.820,6.405,5.623,0.000,0.730,1.820,1.194,1.541,0.000,1.541,0.730,1.194,1.820,1.820,1.820,2.260,0.000,2.260,0.000,10.947,10.947,0.730,1.541,0.000,1.541,2.348,11.023,0.000,2.471,0.000,0.000,0.730,0.000,1.541,0.730,1.541,2.260,1.820,0.000,2.056,1.820,6.405,1.541,0.730,8.604,1.541,0.730,0.730,0.000,5.494,7.775,0.000,0.000,0.000,0.730,1.541,1.194,0.000,2.440,14.195,1.541,1.820,10.597
3.859,1.541,1.893,2.758,0.730,1.194,1.194,1.541,1.194,1.194,3.341,2.056,0.730,1.820,2.056,2.056,2.260,5.053,1.194,1.194,0.730,2.603,2.603,1.541,0.000,1.541,1.541,1.541,1.820,1.820,1.820,2.260,0.000,2.260,0.000,12.713,12.713,0.730,1.194,0.730,1.541,2.460,0.000,0.000,2.460,0.000,0.000,0.730,0.730,1.541,0.730,1.194,2.260,1.820,0.000,2.056,2.056,5.053,1.541,0.730,8.789,1.541,1.541,1.194,0.000,5.831,0.000,0.000,0.000,0.000,0.730,1.541,1.194,0.000,2.260,14.195,1.541,1.820,11.914
3.859,1.541,1.932,2.793,0.730,1.194,1.541,1.541,1.541,1.194,3.859,2.056,0.730,1.820,2.056,2.603,2.056,0.730,0.730,1.194,0.730,2.886,2.886,1.541,0.000,1.194,1.541,1.820,1.194,1.820,1.541,2.260,0.000,2.260,0.000,12.727,12.727,0.730,1.820,0.730,1.541,2.460,0.000,0.000,2.460,0.000,0.000,1.194,0.000,1.541,0.730,1.194,2.440,1.820,0.000,2.056,2.056,0.730,1.194,1.194,10.190,1.541,1.541,1.194,0.000,4.492,0.000,0.000,0.000,0.000,0.730,1.820,1.194,0.000,0.730,14.195,1.541,1.820,12.100
3.859,1.541,1.886,2.787,0.730,1.194,1.194,1.541,1.820,1.194,3.933,2.056,0.730,1.820,2.056,2.056,2.056,5.392,5.392,0.730,0.730,1.820,1.194,1.541,0.000,1.541,1.541,1.541,1.820,1.820,1.820,1.541,12.176,2.260,0.000,9.591,13.093,0.730,1.194,0.730,1.541,2.514,0.000,0.000,2.514,0.000,0.730,0.730,0.730,1.820,0.730,1.194,2.260,1.820,0.730,1.820,2.056,5.392,1.194,1.194,9.990,1.541,1.541,1.194,0.000,4.883,0.000,0.000,0.000,0.000,0.730,1.820,1.194,0.000,1.820,14.198,1.541,1.820,12.017
7.021,1.541,1.848,2.736,0.730,1.194,1.541,1.541,1.820,1.194,3.530,2.056,0.730,1.541,2.056,2.750,2.056,1.194,1.194,0.730,0.730,2.750,2.750,1.194,8.567,0.730,1.541,1.820,1.194,1.820,1.820,2.056,12.531,2.260,0.000,9.764,13.422,0.730,1.820,0.730,1.541,2.500,0.000,0.000,2.500,0.730,0.000,1.194,0.000,1.194,0.730,0.730,2.260,1.820,0.730,1.820,2.056,1.194,0.730,1.194,10.544,1.541,1.541,1.194,8.136,5.248,0.000,0.000,0.000,0.000,0.730,1.820,1.194,0.000,2.603,14.194,1.541,1.820,12.534
5.685,1.541,1.987,2.820,0.730,1.194,1.541,1.541,1.820,1.194,3.530,2.056,0.730,1.820,1.820,2.603,2.056,1.194,0.730,1.194,0.730,2.886,2.886,0.730,7.216,1.194,1.541,1.820,1.194,1.820,1.541,2.260,0.000,2.260,0.000,12.440,12.440,0.730,1.820,0.730,1.541,2.446,12.924,0.000,2.572,0.000,0.000,1.541,0.730,1.820,0.730,1.194,2.750,1.820,0.730,1.820,1.541,1.194,0.730,1.541,11.113,1.541,1.541,1.194,6.899,4.597,0.000,0.000,0.000,0.000,0.730,1.820,1.194,0.000,2.750,14.192,1.541,1.820,12.641
3.859,1.541,1.995,2.791,0.730,1.194,1.541,1.541,1.541,1.194,3.859,2.056,0.730,1.820,2.056,2.056,2.056,3.438,3.341,1.194,0.730,2.886,2.886,1.541,0.000,1.541,1.541,1.820,1.541,1.820,1.820,2.260,0.000,2.260,0.000,12.388,12.388,0.730,1.820,0.730,1.541,2.440,0.000,0.000,2.440,0.000,0.000,0.730,0.730,1.541,0.730,1.541,2.260,1.820,0.000,2.056,2.056,3.341,1.541,1.194,11.039,1.541,1.541,1.194,9.666,5.803,0.000,0.000,0.000,0.000,0.730,1.820,1.194,0.000,2.260,14.197,1.541,1.820,11.884
3.859,1.541,1.899,2.758,0.730,1.194,1.541,1.541,1.820,1.194,3.933,2.056,0.730,1.820,2.056,2.056,2.260,5.527,3.782,0.730,0.730,2.440,2.440,1.194,10.951,1.541,1.541,1.541,1.820,1.820,1.820,1.541,12.677,2.260,0.000,6.315,12.872,0.730,1.194,0.730,1.541,2.469,0.000,0.000,2.469,0.000,0.730,0.730,0.000,1.541,0.730,1.541,2.056,1.820,0.730,1.541,2.056,5.527,0.730,1.194,10.262,1.541,1.541,1.194,0.000,0.000,0.000,0.000,0.000,0.000,0.730,1.820,1.194,0.000,2.886,14.197,1.541,1.820,11.938
3.859,1.541,1.879,2.747,0.730,1.194,1.541,1.541,1.820,1.194,3.933,2.056,0.730,1.820,2.056,2.056,2.440,5.591,1.541,1.194,0.730,2.886,2.886,1.541,0.000,1.541,1.194,1.541,1.820,1.820,1.820,2.056,11.264,2.260,0.000,9.222,12.282,0.730,1.541,0.730,1.541,2.434,0.000,0.000,2.434,0.730,0.000,0.730,0.000,1.541,0.730,1.194,2.056,1.820,0.000,2.056,1.820,5.591,1.541,0.730,8.567,1.541,1.541,1.194,0.000,5.427,0.000,0.000,0.000,0.000,0.730,1.820,1.194,0.000,0.730,14.198,1.541,1.194,11.599
6.448,1.541,1.868,2.708,0.730,1.194,1.541,1.541,1.820,1.194,3.702,2.056,0.730,1.194,2.056,1.820,2.056,5.461,5.461,1.194,0.730,1.194,2.260,1.541,0.000,1.541,1.541,1.820,0.000,0.730,0.000,0.000,0.000,1.541,0.000,0.000,0.000,0.730,1.541,0.000,0.000,2.449,0.000,0.000,2.449,0.000,0.000,1.194,0.000,1.194,1.194,0.000,2.260,1.820,0.000,2.056,1.194,14.195,0.000,0.000,0.000,1.194,1.194,0.730,0.000,0.000,0.000,0.000,0.000,0.000,0.730,1.820,1.194,0.000,2.260,14.195,1.541,0.000,11.314
